"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"García, Luis","671277","2023","482",12.4,".308",31.9,5.8,"93.638514796"
"Harris II, Michael","671739","2023","539",18.7,".357",34.6,10,"96.131496609"
"Bailey, Patrick","672275","2023","353",28.3,".313",36.2,10,"93.890632907"
"Kelenic, Jarred","672284","2023","416",31.7,".333",38.8,9.5,"95.139393983"
"Arias, Gabriel","672356","2023","345",32.8,".304",31,9.9,"95.322139548"
"Kirk, Alejandro","672386","2023","422",10.7,".320",31.9,5.2,"93.313905535"
"Diaz, Jordan","672478","2023","293",23.5,".285",29.9,6.4,"95.000604729"
"Moreno, Gabriel","672515","2023","380",19.7,".314",32.6,4.8,"94.156039559"
"Garcia, Maikel","672580","2023","515",22.3,".319",36.9,3.9,"95.500565408"
"Perdomo, Geraldo","672695","2023","495",17.4,".275",35.4,0.9,"91.28665535"
"Diaz, Yainer","673237","2023","377",19.6,".357",36.9,12.2,"95.208391603"
"Robert Jr., Luis","673357","2023","595",28.9,".347",38,15.4,"95.05043424"
"Kim, Ha-Seong","673490","2023","626",19.8,".313",36.1,4.2,"92.283861587"
"Suzuki, Seiya","673548","2023","583",22.3,".357",36.5,10.5,"95.610201816"
"Jung, Josh","673962","2023","515",29.3,".337",41.9,11.9,"95.373200793"
"Noda, Ryan","676116","2023","495",34.3,".334",38.2,13,"95.450814851"
"Burleson, Alec","676475","2023","347",13,".337",36.6,5.9,"94.381917566"
"Caballero, José","676609","2023","280",23.6,".299",33.1,3.6,"91.572536826"
"Meyers, Jake","676694","2023","341",25.8,".283",34.7,6.3,"92.333391091"
"McCormick, Chas","676801","2023","457",25.6,".341",38.4,11.1,"93.594692676"
"Franco, Wander","677551","2023","491",14.1,".364",35,7.7,"94.232389735"
"Rodríguez, Julio","677594","2023","714",24.5,".345",31.8,11.9,"96.812366417"
"Duran, Ezequiel","677649","2023","439",27.3,".319",36.3,8.7,"95.026970874"
"Thomas, Alek","677950","2023","402",21.4,".291",28.3,5.1,"94.064693103"
"Witt Jr., Bobby","677951","2023","694",17.4,".369",34.4,11.5,"95.411820457"
"Bae, Ji Hwan","678225","2023","371",24.8,".264",24.3,2,"93.542422069"
"Vargas, Miguel","678246","2023","304",20.1,".304",32,6,"92.819102111"
"Tovar, Ezequiel","678662","2023","615",27,".291",36.4,8.1,"93.628807036"
"Torkelson, Spencer","679529","2023","684",25,".349",33.2,14.1,"96.002045502"
"McLain, Matt","680574","2023","403",28.5,".332",39.6,10.8,"94.354982348"
"Kwan, Steven","680757","2023","718",10.4,".317",37.7,1.1,"91.031738203"
"Duran, Jarren","680776","2023","362",24.9,".323",32,5.3,"95.439128926"
"Jeffers, Ryan","680777","2023","335",27.8,".333",34.2,11.6,"95.327122694"
"Davis, Henry","680779","2023","255",27.1,".291",35,7,"94.584235478"
"Gelof, Zack","680869","2023","300",27.3,".333",38.6,11.1,"94.270075904"
"Miller, Owen","680911","2023","314",19.4,".288",34.2,3.4,"92.584463305"
"Donovan, Brendan","680977","2023","371",14.3,".354",37.3,5.8,"93.987172915"
"Stott, Bryson","681082","2023","640",15.6,".309",36.4,4.7,"92.802445092"
"Carpenter, Kerry","681481","2023","459",25.1,".336",37.2,10.2,"94.326096744"
"Outman, James","681546","2023","567",31.9,".325",38.2,11.1,"94.027798454"
"Alvarez, Francisco","682626","2023","423",26,".305",28.6,12.8,"95.157784982"
"Matos, Luis","682641","2023","253",13,".304",38.6,2,"92.870265619"
"De La Cruz, Elly","682829","2023","427",33.7,".303",30.5,8.5,"95.774707273"
"Abrams, CJ","682928","2023","614",19.2,".304",32.6,6.9,"93.426357297"
"Greene, Riley","682985","2023","416",27.4,".365",36.8,11.3,"95.926317652"
"Carroll, Corbin","682998","2023","645",19.4,".344",32.7,7.6,"94.780604736"
"Henderson, Gunnar","683002","2023","622",25.6,".346",32.9,11.4,"96.062562903"
"Volpe, Anthony","683011","2023","601",27.8,".308",35.5,9,"93.954577957"
"Baty, Brett","683146","2023","389",28,".300",33.3,7.7,"95.076203184"
"Vaughn, Andrew","683734","2023","615",21,".319",30.3,8.4,"95.348849294"
"Pasquantino, Vinnie","686469","2023","260",11.9,".350",37.8,7.5,"94.167852814"
"Doyle, Brenton","686668","2023","431",35,".258",29.9,8.7,"93.693021345"
"Massey, Michael","686681","2023","461",21.5,".319",38,7.8,"93.868433587"
"Brennan, Will","686823","2023","455",12.5,".305",35.8,2.4,"92.245172918"
"Wiemer Jr., Joey","686894","2023","410",28.3,".289",28.9,9.1,"94.031570395"
"Neto, Zach","687263","2023","329",23.4,".312",33.8,8.8,"93.888217243"
"Walker, Jordan","691023","2023","465",22.4,".332",33.6,7.5,"95.105508896"
"Colás, Oscar","693049","2023","263",27,".264",28.1,7.9,"94.790742442"
"Yoshida, Masataka","807799","2023","580",14,".325",29.5,6.6,"94.28056556"
